Village,Department,Arrondissement,Region,postal_code,population,Lat_Village,Lon_Village,year
MBE,MEFOU-ET-AFAMBA,MBANDJOCK,CENTRE,25839,3128,4.28333,11.86667,2025
NKOLMEDZAP,MEFOU-ET-AKONO,NGOUMOU,CENTRE,26445,901,3.61667,11.26667,2025
DOUALAYEL,FARO-ET-DEO,TIGNÃ¨RE,ADAMAOUA,12592,0,7.01667,12.66667,2025
WEME,MEME,DIKOME-BALUE,SUD-OUEST,15216,0,4.7752,9.1916,2025
EDIGIDIM,NDIAN,BAMUSSO,SUD-OUEST,16177,1430,4.5195,8.8838,2025
BOGONGO,MEME,EKONDO-TITI,SUD-OUEST,15318,3850,4.5804,9.1041,2025
NKWENTOR,KUPE-MANENGUBA,KONYE,SUD-OUEST,12228,1797,5.0736,9.3955,2025
BASSE,MIFI,BAFOUSSAM III,OUEST,86392,4063,5.54836,10.34391,2025
BANDOUOP,HAUT-NKAM,BANA,OUEST,82395,1984,5.10013,10.35796,2025
LAPU,MOMO,WIDIKUM-BOFFÃ©,NORD-OUEST,76198,0,5.9797,9.6745,2025
NGEMBO,MEZAM,BAMENDA II,NORD-OUEST,75442,0,5.96387,10.03763,2025
BENDI,MOMO,WIDIKUM-BOFFÃ©,NORD-OUEST,76198,0,5.9014,9.7537,2025
BUGRI,MEZAM,BAFUT,NORD-OUEST,75149,10408,6.2557,9.9862,2025
MBALAM,HAUT-NYONG,NGOYLA,EST,32997,464,2.78333,13.95,2025
KABILI,HAUTE-SANAGA,DOUMAINTANG,CENTRE,21448,941,4.31667,13.23333,2025
NLANE,LOM-ET-DJEREM,NGOURA,EST,34148,2327,5.1,14.01667,2025
DIMAKO I,KADEI,BATOURI,EST,33158,1977,4.35,14.15,2025
YENGA DOUCEMENT,BOUMBA-ET-NGOKO,MOULOUNDOU,EST,31357,0,2.26667,15.35,2025
MANSA,LOM-ET-DJEREM,BÃ©LABO,EST,34497,0,5.16667,13.51667,2025
MAYOS,NYONG-ET-MFOUMOU,ATOK,CENTRE,29559,0,3.93333,12.68333,2025
FANG BILOUN,NYONG-ET-MFOUMOU,KOBDOMBO,CENTRE,29111,0,4.0,12.71667,2025
DONKERE,FARO-ET-DEO,MAYO-BALÃ©O,ADAMAOUA,12447,0,7.76667,12.2,2025
AKAK,MANYU,MAMFE,SUD-OUEST,14357,0,5.48333,9.36667,2025
NYE,MENOUA,NKONG-ZEM,OUEST,85824,0,5.51137,10.15574,2025
MEGHUI,BAMBOUTOS,BATCHAM,OUEST,81593,1269,5.57605,10.17075,2025
BAHAM III,MIFI,KOUOPTAMO,OUEST,86694,1306,5.61965,10.58774,2025
NGWA,KOUNG-KHI,BAYANGAM,OUEST,84353,461,5.20134,10.48097,2025
MELIA,MENOUA,NKONG-ZEM,OUEST,85824,0,5.50906,10.14901,2025
MODONG,BAMBOUTOS,GALIM,OUEST,81677,1898,5.71815,10.44138,2025
NVING,HAUTS-PLATEAUX,BAMENDJOU,OUEST,83376,1230,5.36684,10.24563,2025
BAMETOU,MIFI,BAFOUSSAM III,OUEST,86392,4063,5.53479,10.37184,2025
NDOUMBA,NDE,BASSAMBA,OUEST,87214,225,5.04652,10.56066,2025
NKOAMBENG,MIFI,KOUOPTAMO,OUEST,86694,1306,5.61303,10.62003,2025
BOME,MEZAM,MBENGWI,NORD-OUEST,75626,2973,5.97591,10.00104,2025
DUSAT,SANAGA-MARITIME,ÃDÃ©A II,LITTORAL,53453,0,4.1,10.41667,2025
MAMPANG,HAUT-NYONG,ABONG-MBANG,EST,32193,2189,4.0,13.18333,2025
KOMBA,NYONG-ET-MFOUMOU,BENGBIS,CENTRE,29779,387,3.41667,12.7,2025
MBAME I,HAUTE-SANAGA,NGUELEMENDOUKA,CENTRE,21312,1087,4.3,13.06667,2025
AKOM,OCEAN,NIÃ©TÃ©,SUD,93235,0,2.81667,10.13333,2025
ANGONGE,NYONG-ET-SO,ZOÃ©TÃ©LÃ©,CENTRE,21631,0,3.21667,11.95,2025
ALOUM,VALLEE-DU-NTEM,EBOLOWA I,SUD,94354,2688,2.8,10.73333,2025
LOUM,NYONG-ET-SO,MEYOMESSALA,CENTRE,21942,724,3.23333,12.1,2025
YOS,DJA-ET-LOBO,MEYOMESSALA,SUD,91342,669,2.98333,12.23333,2025
NKONDONGO,MVILA,EBOLOWA II,SUD,92529,2702,2.66667,11.35,2025
BAM,MAYO-REY,NGAN'HA,NORD,64683,0,7.71667,14.0,2025
KABOA,MAYO-REY,DJOHONG,NORD,64288,713,7.20366,15.02255,2025
NDOA,OCEAN,LOKOUNDJÃ©,SUD,93834,0,3.05,10.23333,2025
MEKAK,NYONG-ET-SO,ZOÃ©TÃ©LÃ©,CENTRE,21631,0,3.26667,12.01667,2025
POMLA,FARO,BÃ©KA,NORD,62173,0,8.75,12.86667,2025
MAYO BAYLA,MAYO-LOUTI,BASCHÃ©O,NORD,63175,0,9.75389,13.43952,2025
SOSIMI,MAYO-LOUTI,PITOA,NORD,63233,2036,9.61667,13.7,2025
MARKA,FARO,LAGDO,NORD,62357,401,8.45772,13.2762,2025
MIGALAT,MBERE,BÃ©LEL,ADAMAOUA,14165,0,7.16667,14.38333,2025
DJIRLADJE,BENOUE,GAROUA I,NORD,61565,14597,9.28752,13.33953,2025
GUELELE,MAYO-SAVA,SOULÃ¨DÃ©-ROUA,EXTREME-NORD,45773,0,10.78191,13.97694,2025
MALAM PETEL,DIAMARE,MAROUA III,EXTREME-NORD,41781,5800,10.81445,14.44707,2025
GOLOMBA,MAYO-TSANAGA,SOULÃ¨DÃ©-ROUA,EXTREME-NORD,46973,0,10.76335,13.97396,2025
MONGOSSI,DIAMARE,MAGA,EXTREME-NORD,41499,3819,10.94814,14.79036,2025
MOULANDI,MAYO-LOUTI,MOUTOURWA,NORD,63982,1225,10.20481,14.03188,2025
ABOUDANGALA KABIR,LOGONE-ET-CHARI,BLANGOUA,EXTREME-NORD,42161,1112,12.67015,14.54634,2025
DIO,LOGONE-ET-CHARI,MAKARY,EXTREME-NORD,42814,0,12.39618,14.58968,2025
OROUGOLDA,MAYO-TSANAGA,KOZA,EXTREME-NORD,46414,655,10.83354,13.8676,2025
RVA,MAYO-TSANAGA,KOZA,EXTREME-NORD,46414,655,10.8719,13.72295,2025
JILER,MAYO-SAVA,KOZA,EXTREME-NORD,45214,655,10.917,13.89905,2025
DIVEL,LOGONE-ET-CHARI,WAZA,EXTREME-NORD,42943,1091,11.5014,14.82319,2025
NGORO,MAYO-KANI,DZIGUILAO,EXTREME-NORD,44241,0,10.06695,14.83439,2025
GUIDIYAK,MAYO-SAVA,SOULÃ¨DÃ©-ROUA,EXTREME-NORD,45773,0,10.85237,13.96862,2025
MARGAMA,LOGONE-ET-CHARI,FOTOKOL,EXTREME-NORD,42347,786,12.52315,14.29267,2025
KALANG,MAYO-DANAY,MAGA,EXTREME-NORD,43199,3819,10.82073,14.8882,2025
EBOMSI I,NYONG-ET-SO,NKOL-MÃ©TET,CENTRE,21426,0,3.41667,11.71667,2025
NSEBE,MEFOU-ET-AFAMBA,MENGANG,CENTRE,25973,620,3.78333,11.96667,2025
KINTELOM,NYONG-ET-SO,ENDOM,CENTRE,21661,583,3.41667,12.01667,2025
MBATI,MBAM-ET-KIM,YOKO,CENTRE,24769,344,5.08333,12.06667,2025
OMBAMO,MBAM-ET-INOUBOU,BOKITO,CENTRE,23263,4496,4.43333,10.98333,2025
OURO ARDOYA YA,MAYO-LOUTI,BASCHÃ©O,NORD,63175,0,9.86667,13.33333,2025
