Village,Department,Arrondissement,Region,postal_code,population,Lat_Village,Lon_Village,year
MME-BAFUMEN,BOYO,FUNDONG,NORD-OUEST,71425,7254,6.33333,10.23333,2020
MBANDJOK,MEFOU-ET-AFAMBA,MBANDJOCK,CENTRE,25839,2735,4.45,11.9,2020
BAMUSSO,NDIAN,BAMUSSO,SUD-OUEST,16177,1266,4.4591,8.9027,2020
PENJA,MOUNGO,PENJA,LITTORAL,51187,0,4.63911,9.67987,2020
IDENAO,FAKO,IDENAU,SUD-OUEST,11446,0,4.2475,9.00472,2020
NDOM,MOUNGO,MOMBO,LITTORAL,51764,534,4.4978,9.5628,2020
MVANGUÉ,MVILA,MENGONG,SUD,92859,699,2.96667,11.51667,2020
MUTENGENE,FAKO,LIMBÃ© I,SUD-OUEST,11598,0,4.0913,9.3144,2020
BEKONDO,MEME,KUMBA I,SUD-OUEST,15567,8025,4.6819,9.3214,2020
DIANG,NKAM,YABASSI,LITTORAL,52582,442,4.25,10.01667,2020
BABANKI,MEZAM,TUBAH,NORD-OUEST,75913,4450,6.11667,10.25,2020
SOMIÉ,MAYO-BANYO,MAYO-DARLÃ©,ADAMAOUA,13421,0,6.45843,11.43299,2020
DIMAKO,KADEI,DIMAKO,EST,33439,1670,4.38333,13.56667,2020
OKOLA,LEKIE,OKALA,CENTRE,22651,0,4.01667,11.38333,2020
BANSOA,HAUTS-PLATEAUX,BAFOUSSAM III,OUEST,83192,3595,5.44718,10.31514,2020
EYUMOJOK,MANYU,EYUMODJOCK,SUD-OUEST,14237,1397,5.750358,8.983317,2020
MBE,VINA,MBÃ©,ADAMAOUA,15446,0,7.850437,13.600038,2020
OVENG,MVILA,AMBAM,SUD,92151,1180,2.41667,11.56667,2020
AKOM,DJA-ET-LOBO,BENGBIS,SUD,91179,320,3.28333,12.46667,2020
SOUMI,FARO,BÃ©KA,NORD,62173,0,8.57084,13.00554,2020
MEBA,NYONG-ET-SO,ZOÃ©TÃ©LÃ©,CENTRE,21631,0,3.28333,11.88333,2020
ADJAP,MVILA,BIWONG-BANÃ©,SUD,92243,0,2.96667,11.11667,2020
NKOADJAP,MVILA,BIWONG-BULU,SUD,92384,765,2.55,11.53333,2020
SOLOA,MAYO-LOUTI,FIGUIL,NORD,63523,1793,9.66472,13.96794,2020
LAMINGUEL,MAYO-LOUTI,GUIDER,NORD,63639,2981,9.91042,13.77728,2020
DAFEN,DIAMARE,ZINA,EXTREME-NORD,41542,565,11.09096,14.88235,2020
GALEGALE,LOGONE-ET-CHARI,GOULFEY,EXTREME-NORD,42427,657,12.20354,14.69994,2020
BAMGUEL-MBORORO,MAYO-TSANAGA,HINA,EXTREME-NORD,46375,524,10.28561,13.83162,2020
FADARE,DIAMARE,PÃ©TTÃ©,EXTREME-NORD,41286,0,10.91999,14.60241,2020
KONGOLA DJIDDEO,DIAMARE,MAROUA II,EXTREME-NORD,41621,7533,10.61667,14.4,2020
GOIZINAK,LOGONE-ET-CHARI,ZINA,EXTREME-NORD,42142,565,11.51017,15.11491,2020
GUETAMA,MAYO-SAVA,MOZOGO,EXTREME-NORD,45552,0,11.04993,13.83486,2020
MAWAK,MAYO-SAVA,KOZA,EXTREME-NORD,45214,574,10.93504,13.90911,2020
WAGLAM,LOGONE-ET-CHARI,BLANGOUA,EXTREME-NORD,42161,1464,12.6855,14.4892,2020
GOULOUNDOUMA,LOGONE-ET-CHARI,WAZA,EXTREME-NORD,42943,955,11.50278,14.72679,2020
POUMPOUM,NYONG-ET-MFOUMOU,MESSAMÃ©NA,CENTRE,29521,0,3.65,12.58333,2020
BERKONG,HAUTE-SANAGA,NANGA-EBOKO,CENTRE,21283,709,4.65,12.6,2020
MEBEM,NYONG-ET-MFOUMOU,ENDOM,CENTRE,29961,510,3.48333,12.18333,2020
MEMIAM,NYONG-ET-SO,MBALMAYO,CENTRE,21774,4090,3.46667,11.6,2020
MBENGUENI,HAUTE-SANAGA,NKOTENG,CENTRE,21489,468,4.78333,12.05,2020
BINDALIMA I,LEKIE,NTUI,CENTRE,22346,1959,4.45,11.63333,2020
AVO,LEKIE,MONATÃ©LÃ©,CENTRE,22121,0,4.26667,11.23333,2020
NKOLELOUGA,LEKIE,EBEBDA,CENTRE,22482,1211,4.46667,11.36667,2020
BIKOUE,OCEAN,LOKOUNDJÃ©,SUD,93834,0,3.2,10.03333,2020
NKONO,DJA-ET-LOBO,OVENG,SUD,91725,369,2.4,12.43333,2020
LAK,MAYO-LOUTI,MAYO-OULO,NORD,63822,0,9.97767,13.71518,2020
BOBOK,FARO,MBÃ©,NORD,62446,0,8.13333,13.63333,2020
GOULOUM,MAYO-LOUTI,MAYO-OULO,NORD,63822,0,10.03903,13.66974,2020
BIGALERE,MAYO-REY,MADINGRING,NORD,64455,1788,8.38333,14.95,2020
KITCHIHA,MAYO-LOUTI,BASCHÃ©O,NORD,63175,0,10.01473,13.3353,2020
OURO GALDIMA,BENOUE,LAGDO,NORD,61857,353,8.68333,13.58333,2020
SANGUERE-PAUL,BENOUE,GAROUA III,NORD,61786,2099,9.28164,13.45958,2020
SOUARI,BENOUE,PITOA,NORD,61233,1795,9.31745,13.66739,2020
MASGA,MAYO-LOUTI,FIGUIL,NORD,63523,1793,10.02912,13.99705,2020
HAITA,MAYO-REY,MADINGRING,NORD,64455,1788,8.23333,14.95,2020
NDJAMENA,LOGONE-ET-CHARI,LOGONE-BIRNI,EXTREME-NORD,42733,0,12.01474,14.72028,2020
BABADAM,DIAMARE,BOGO,EXTREME-NORD,41171,2692,10.78182,14.73783,2020
MELDERE,MAYO-TSANAGA,KOZA,EXTREME-NORD,46414,574,10.83253,13.8285,2020
PALBARA,MAYO-SAVA,TOKOMBÃ©RÃ©,EXTREME-NORD,45889,0,10.90754,14.21119,2020
MAFAOLI,MAYO-TSANAGA,MOKOLO,EXTREME-NORD,46628,2779,10.72839,13.82106,2020
DJEMBELE,MAYO-TSANAGA,KOZA,EXTREME-NORD,46414,574,10.79888,13.82059,2020
JAOUE,MAYO-TSANAGA,KOZA,EXTREME-NORD,46414,574,10.77291,13.84003,2020
MATAL,MAYO-SAVA,KOZA,EXTREME-NORD,45214,574,10.93163,13.99486,2020
NKOLNGOK,MEFOU-ET-AKONO,AKONO,CENTRE,26176,428,3.5,11.36667,2020
OSOE BIKOBO,MEFOU-ET-AKONO,AKONO,CENTRE,26176,428,3.45,11.18333,2020
KOUNDJIRI,MBAM-ET-KIM,YOKO,CENTRE,24769,301,5.36667,12.21667,2020
OSOMBE,LEKIE,NTUI,CENTRE,22346,1959,4.6,11.65,2020
AFAMVE,MEFOU-ET-AFAMBA,EDZENDOUAN,CENTRE,25474,5200,4.16667,11.66667,2020
EFOULAN,NYONG-ET-SO,ENDOM,CENTRE,21661,510,3.4,12.06667,2020
DJOP,DJA-ET-LOBO,DJOUM,SUD,91262,666,2.43333,12.68333,2020
BIKOU,VALLEE-DU-NTEM,EBOLOWA I,SUD,94354,2409,2.81667,10.95,2020
NKOUMADJAP II,NYONG-ET-SO,ZOÃ©TÃ©LÃ©,CENTRE,21631,0,3.2,11.95,2020
MANG,MVILA,SANGMÃ©LIMA,SUD,92453,0,2.91667,12.01667,2020
MBA,MAYO-BANYO,BANYO,ADAMAOUA,13212,3855,6.98333,11.91667,2020
NIE DEUWA,DJEREM,TABATI,ADAMAOUA,11554,0,6.87329,12.81997,2020
NJA',HAUTS-PLATEAUX,PENKA-MICHEL,OUEST,83857,1140,5.45548,10.26218,2020
FAMLOUH,HAUTS-PLATEAUX,BANGOU,OUEST,83512,794,5.19299,10.43377,2020
KEKEM,HAUT-NKAM,KÃ©KEM,OUEST,82959,0,5.15689,10.01996,2020
NGWIHO,KOUNG-KHI,BAYANGAM,OUEST,84353,408,5.2607,10.48145,2020
BAKADJOU,BAMBOUTOS,MBOUDA,OUEST,81756,2088,5.54509,10.29508,2020
NZENKOP,MENOUA,NKONG-ZEM,OUEST,85824,0,5.48193,10.10815,2020
KONE,BENOUE,NGONG,NORD,61167,0,8.82923,13.28359,2020
DJIMI,FARO,LAGDO,NORD,62357,353,8.52646,13.51343,2020
PITOA-DOULI,BENOUE,GAROUA III,NORD,61786,2099,9.27306,13.53361,2020
NIAKIRA,BENOUE,GAROUA II,NORD,61682,14370,9.38159,13.45016,2020
GANDJIBA,FARO,LAGDO,NORD,62357,353,8.42913,13.33745,2020
AMSA,MAYO-TSANAGA,MOGODÃ©,EXTREME-NORD,46586,0,10.44778,13.54263,2020
MBOUGOUANE,MAYO-TSANAGA,MOGODÃ©,EXTREME-NORD,46586,0,10.55535,13.6956,2020
SAO,LOGONE-ET-CHARI,GOULFEY,EXTREME-NORD,42427,657,12.2592,14.81148,2020
ROUA,MAYO-SAVA,SOULÃ¨DÃ©-ROUA,EXTREME-NORD,45773,0,10.77895,13.99153,2020
BIVON,MAYO-TSANAGA,HINA,EXTREME-NORD,46375,782,10.25474,13.85919,2020
GOULVOU,MAYO-TSANAGA,HINA,EXTREME-NORD,46375,782,10.41071,13.77719,2020
WARADE,MAYO-SAVA,KOLOFATA,EXTREME-NORD,45198,1492,11.1463,13.95175,2020
KABO SANG HIRE,LOGONE-ET-CHARI,KOUSSÃ©RI,EXTREME-NORD,42615,0,12.09591,14.70853,2020
OURO DEOUMARE,MAYO-DANAY,MOULVOUDAYE,EXTREME-NORD,43252,2750,10.38425,14.86175,2020
MADAKOLKOS,MAYO-SAVA,TOKOMBÃ©RÃ©,EXTREME-NORD,45889,0,10.90367,14.1133,2020
BILAO,MAYO-KANI,GUIDIGUIS,EXTREME-NORD,44417,2158,10.07394,14.52485,2020
CHICHIEM,MAYO-TSANAGA,MOKOLO,EXTREME-NORD,46628,2779,10.72966,13.88235,2020
MATSARI,MBAM-ET-KIM,YOKO,CENTRE,24769,301,5.35,12.23333,2020
MAFIA,NOUN,DEUK,OUEST,88271,2830,5.33333,11.35,2020
ADOUM,NYONG-ET-SO,DZENG,CENTRE,21585,425,3.61667,11.76667,2020
MBE,MEFOU-ET-AFAMBA,MBANDJOCK,CENTRE,25839,2735,4.28333,11.86667,2020
NKOLMEDZAP,MEFOU-ET-AKONO,NGOUMOU,CENTRE,26445,788,3.61667,11.26667,2020
DOUALAYEL,FARO-ET-DEO,TIGNÃ¨RE,ADAMAOUA,12592,0,7.01667,12.66667,2020
WEME,MEME,DIKOME-BALUE,SUD-OUEST,15216,0,4.7752,9.1916,2020
EDIGIDIM,NDIAN,BAMUSSO,SUD-OUEST,16177,1266,4.5195,8.8838,2020
BOGONGO,MEME,EKONDO-TITI,SUD-OUEST,15318,3408,4.5804,9.1041,2020
NKWENTOR,KUPE-MANENGUBA,KONYE,SUD-OUEST,12228,1591,5.0736,9.3955,2020
BASSE,MIFI,BAFOUSSAM III,OUEST,86392,3595,5.54836,10.34391,2020
BANDOUOP,HAUT-NKAM,BANA,OUEST,82395,1755,5.10013,10.35796,2020
LAPU,MOMO,WIDIKUM-BOFFÃ©,NORD-OUEST,76198,0,5.9797,9.6745,2020
NGEMBO,MEZAM,BAMENDA II,NORD-OUEST,75442,0,5.96387,10.03763,2020
BENDI,MOMO,WIDIKUM-BOFFÃ©,NORD-OUEST,76198,0,5.9014,9.7537,2020
BUGRI,MEZAM,BAFUT,NORD-OUEST,75149,9170,6.2557,9.9862,2020
MBALAM,HAUT-NYONG,NGOYLA,EST,32997,415,2.78333,13.95,2020
KABILI,HAUTE-SANAGA,DOUMAINTANG,CENTRE,21448,823,4.31667,13.23333,2020
NLANE,LOM-ET-DJEREM,NGOURA,EST,34148,2078,5.1,14.01667,2020
DIMAKO I,KADEI,BATOURI,EST,33158,1765,4.35,14.15,2020
YENGA DOUCEMENT,BOUMBA-ET-NGOKO,MOULOUNDOU,EST,31357,0,2.26667,15.35,2020
MANSA,LOM-ET-DJEREM,BÃ©LABO,EST,34497,0,5.16667,13.51667,2020
MAYOS,NYONG-ET-MFOUMOU,ATOK,CENTRE,29559,0,3.93333,12.68333,2020
FANG BILOUN,NYONG-ET-MFOUMOU,KOBDOMBO,CENTRE,29111,0,4.0,12.71667,2020
DONKERE,FARO-ET-DEO,MAYO-BALÃ©O,ADAMAOUA,12447,0,7.76667,12.2,2020
AKAK,MANYU,MAMFE,SUD-OUEST,14357,0,5.48333,9.36667,2020
NYE,MENOUA,NKONG-ZEM,OUEST,85824,0,5.51137,10.15574,2020
MEGHUI,BAMBOUTOS,BATCHAM,OUEST,81593,1124,5.57605,10.17075,2020
BAHAM III,MIFI,KOUOPTAMO,OUEST,86694,1156,5.61965,10.58774,2020
NGWA,KOUNG-KHI,BAYANGAM,OUEST,84353,408,5.20134,10.48097,2020
MELIA,MENOUA,NKONG-ZEM,OUEST,85824,0,5.50906,10.14901,2020
MODONG,BAMBOUTOS,GALIM,OUEST,81677,1680,5.71815,10.44138,2020
NVING,HAUTS-PLATEAUX,BAMENDJOU,OUEST,83376,1089,5.36684,10.24563,2020
BAMETOU,MIFI,BAFOUSSAM III,OUEST,86392,3595,5.53479,10.37184,2020
NDOUMBA,NDE,BASSAMBA,OUEST,87214,199,5.04652,10.56066,2020
NKOAMBENG,MIFI,KOUOPTAMO,OUEST,86694,1156,5.61303,10.62003,2020
BOME,MEZAM,MBENGWI,NORD-OUEST,75626,2619,5.97591,10.00104,2020
DUSAT,SANAGA-MARITIME,ÃDÃ©A II,LITTORAL,53453,0,4.1,10.41667,2020
MAMPANG,HAUT-NYONG,ABONG-MBANG,EST,32193,1954,4.0,13.18333,2020
KOMBA,NYONG-ET-MFOUMOU,BENGBIS,CENTRE,29779,339,3.41667,12.7,2020
MBAME I,HAUTE-SANAGA,NGUELEMENDOUKA,CENTRE,21312,950,4.3,13.06667,2020
AKOM,OCEAN,NIÃ©TÃ©,SUD,93235,0,2.81667,10.13333,2020
ANGONGE,NYONG-ET-SO,ZOÃ©TÃ©LÃ©,CENTRE,21631,0,3.21667,11.95,2020
ALOUM,VALLEE-DU-NTEM,EBOLOWA I,SUD,94354,2409,2.8,10.73333,2020
LOUM,NYONG-ET-SO,MEYOMESSALA,CENTRE,21942,633,3.23333,12.1,2020
YOS,DJA-ET-LOBO,MEYOMESSALA,SUD,91342,598,2.98333,12.23333,2020
NKONDONGO,MVILA,EBOLOWA II,SUD,92529,2420,2.66667,11.35,2020
BAM,MAYO-REY,NGAN'HA,NORD,64683,0,7.71667,14.0,2020
KABOA,MAYO-REY,DJOHONG,NORD,64288,629,7.20366,15.02255,2020
NDOA,OCEAN,LOKOUNDJÃ©,SUD,93834,0,3.05,10.23333,2020
MEKAK,NYONG-ET-SO,ZOÃ©TÃ©LÃ©,CENTRE,21631,0,3.26667,12.01667,2020
POMLA,FARO,BÃ©KA,NORD,62173,0,8.75,12.86667,2020
MAYO BAYLA,MAYO-LOUTI,BASCHÃ©O,NORD,63175,0,9.75389,13.43952,2020
SOSIMI,MAYO-LOUTI,PITOA,NORD,63233,1795,9.61667,13.7,2020
MARKA,FARO,LAGDO,NORD,62357,353,8.45772,13.2762,2020
MIGALAT,MBERE,BÃ©LEL,ADAMAOUA,14165,0,7.16667,14.38333,2020
DJIRLADJE,BENOUE,GAROUA I,NORD,61565,12864,9.28752,13.33953,2020
GUELELE,MAYO-SAVA,SOULÃ¨DÃ©-ROUA,EXTREME-NORD,45773,0,10.78191,13.97694,2020
MALAM PETEL,DIAMARE,MAROUA III,EXTREME-NORD,41781,5081,10.81445,14.44707,2020
GOLOMBA,MAYO-TSANAGA,SOULÃ¨DÃ©-ROUA,EXTREME-NORD,46973,0,10.76335,13.97396,2020
MONGOSSI,DIAMARE,MAGA,EXTREME-NORD,41499,3345,10.94814,14.79036,2020
MOULANDI,MAYO-LOUTI,MOUTOURWA,NORD,63982,1080,10.20481,14.03188,2020
ABOUDANGALA KABIR,LOGONE-ET-CHARI,BLANGOUA,EXTREME-NORD,42161,974,12.67015,14.54634,2020
DIO,LOGONE-ET-CHARI,MAKARY,EXTREME-NORD,42814,0,12.39618,14.58968,2020
OROUGOLDA,MAYO-TSANAGA,KOZA,EXTREME-NORD,46414,574,10.83354,13.8676,2020
RVA,MAYO-TSANAGA,KOZA,EXTREME-NORD,46414,574,10.8719,13.72295,2020
JILER,MAYO-SAVA,KOZA,EXTREME-NORD,45214,574,10.917,13.89905,2020
DIVEL,LOGONE-ET-CHARI,WAZA,EXTREME-NORD,42943,955,11.5014,14.82319,2020
NGORO,MAYO-KANI,DZIGUILAO,EXTREME-NORD,44241,0,10.06695,14.83439,2020
GUIDIYAK,MAYO-SAVA,SOULÃ¨DÃ©-ROUA,EXTREME-NORD,45773,0,10.85237,13.96862,2020
MARGAMA,LOGONE-ET-CHARI,FOTOKOL,EXTREME-NORD,42347,689,12.52315,14.29267,2020
KALANG,MAYO-DANAY,MAGA,EXTREME-NORD,43199,3345,10.82073,14.8882,2020
EBOMSI I,NYONG-ET-SO,NKOL-MÃ©TET,CENTRE,21426,0,3.41667,11.71667,2020
NSEBE,MEFOU-ET-AFAMBA,MENGANG,CENTRE,25973,542,3.78333,11.96667,2020
KINTELOM,NYONG-ET-SO,ENDOM,CENTRE,21661,510,3.41667,12.01667,2020
MBATI,MBAM-ET-KIM,YOKO,CENTRE,24769,301,5.08333,12.06667,2020
OMBAMO,MBAM-ET-INOUBOU,BOKITO,CENTRE,23263,3931,4.43333,10.98333,2020
OURO ARDOYA YA,MAYO-LOUTI,BASCHÃ©O,NORD,63175,0,9.86667,13.33333,2020
