Region,Department,Arrondissement,Village,postal_code,Lat_Village,Lon_Village,Lat_Arrondissement,Lon_Arrondissement,Lat_Department,Lon_Department,Lat_Region,Lon_Region,population_2005,population_2010,population_2015,population_2020,population_2025
ADAMAOUA,FARO-ET-DEO,TIGNÃ¨RE,TIGNÈRE,12592,7.36667,12.65,7.373477664538405,12.704866279649401,7.4459369607916654,12.461127134415293,6.82571155897595,13.133156301509544,0,0,0,0,0
CENTRE,MFOUNDI,SOA,SOA,27748,3.98333,11.6,3.995149022228244,11.598511691925268,3.8084856225352923,11.512775943766274,4.670479718316163,11.826210878899634,1428,1248,1450,1680,1922
OUEST,NDE,BAZOU,BAZOU,87421,5.05695,10.46978,5.0548365418709444,10.44016698314809,5.074122217801153,10.60024372589252,,,518,450,518,593,670
ADAMAOUA,MAYO-BANYO,BANYO,BANYO,13212,6.75,11.81667,6.754228830499768,11.898119875679225,6.569903921139817,11.728954763954299,6.82571155897595,13.133156301509544,3422,2959,3390,3855,4317
CENTRE,NYONG-ET-SO,NGOMEDZAP,NGOMEDZAP,21296,3.25,11.2,3.322334181903237,11.210831128984433,3.403646923163418,11.547625677484419,4.670479718316163,11.826210878899634,91,92,107,124,141
EST,LOM-ET-DJEREM,BÃ©LABO,BÉLABO,34497,4.93333,13.3,5.127296518916477,13.38387294946663,5.325571117051513,13.765264456510515,,,0,0,0,0,0
ADAMAOUA,MBERE,BÃ©LEL,BÉLEL,14165,7.05,14.43333,7.077322801362965,14.354686465391634,6.473257682994356,14.2128346207462,6.82571155897595,13.133156301509544,0,0,0,0,0
NORD-OUEST,MOMO,BATIBO,BATIBO,76579,5.8358,9.8553,5.82769243560655,9.89554484513147,5.983372900588761,9.817454892162662,,,1666,1455,1685,1940,2203
CENTRE,HAUTE-SANAGA,MINTA,MINTA,21192,4.58333,12.8,4.67285783290982,12.971347731174916,4.677837495672556,12.512664216059541,4.670479718316163,11.826210878899634,568,497,577,668,764
LITTORAL,SANAGA-MARITIME,NGAMBÃ©,NGAMBÉ,53899,4.23333,10.61667,4.315599982435471,10.610508395728953,3.9447540478597345,10.309718674447312,4.270427500514314,10.130509508906568,0,0,0,0,0
SUD-OUEST,KUPE-MANENGUBA,NGUTI,NGUTI,12751,5.3299,9.4185,5.265909316225298,9.544752821787524,5.120562536808391,9.599290439522152,,,1067,927,1068,1223,1382
SUD,MVILA,SANGMÃ©LIMA,SANGMÉLIMA,92453,2.93333,11.98333,2.92561857011292,11.905723560816677,2.827797300383114,11.415283935452997,,,0,0,0,0,0
SUD,MVILA,BIWONG-BANÃ©,EBOLOWA,92243,2.9,11.15,3.092059955612704,11.094260254120824,2.827797300383114,11.415283935452997,,,0,0,0,0,0
CENTRE,MBAM-ET-INOUBOU,BAFIA,BAFIA,23178,4.75,11.23333,4.741479984037399,11.231151454537292,4.731172516683585,10.965955783471026,4.670479718316163,11.826210878899634,5433,4750,5522,6394,7313
OUEST,HAUT-NKAM,BANKA,BAFANG,82563,5.15625,10.17882,5.18919344521469,10.197626702595754,5.157301111756902,10.183557407875464,,,1718,1492,1719,1970,2226
NORD-OUEST,MEZAM,BAMENDA III,BAMENDA,75562,5.95266,10.15824,5.991545623354229,10.1819218882653,5.991620547463154,10.141931213407325,,,0,0,0,0,0
ADAMAOUA,MBERE,GAROUA-BOULAÃ¯,GAROUA BOULAÏ,14564,5.88333,14.55,5.729867564460048,14.434410572701333,6.473257682994356,14.2128346207462,6.82571155897595,13.133156301509544,0,0,0,0,0
EXTREME-NORD,DIAMARE,BOGO,BOGO,41171,10.7336,14.60928,10.771405602809148,14.673465131011035,10.667049618712413,14.35913441270984,,,2259,1990,2322,2692,3075
LITTORAL,SANAGA-MARITIME,DIZANGUÃ©,DIZANGUÉ,53258,3.76667,9.98333,3.828037534737652,9.88411100430732,3.9447540478597345,10.309718674447312,4.270427500514314,10.130509508906568,0,0,0,0,0
OUEST,MIFI,BAFOUSSAM III,BAFOUSSAM,86392,5.47366,10.41786,5.489013408858517,10.368578609512928,5.53614316164901,10.44127314151299,,,1567,2722,3137,3595,6094
CENTRE,MBAM-ET-INOUBOU,NGORO,NGORO,23185,4.95,11.38333,4.937860856840002,11.470058450569313,4.731172516683585,10.965955783471026,4.670479718316163,11.826210878899634,3459,3023,3515,4070,4656
OUEST,NDE,MAKENENE,TONGA,87627,4.96667,10.7,4.872261423883598,10.689587019662715,5.074122217801153,10.60024372589252,,,3093,2685,3095,3547,4008
NORD-OUEST,BOYO,NJINIKOM,NJINIKOM,71526,6.23333,10.28333,6.225667874881257,10.220704496037866,6.361815187683594,10.364502639482296,,,3822,3338,3866,4452,5052
ADAMAOUA,MBERE,MEIGANGA,MEÏGANGA,14646,6.51667,14.3,6.4271713875846155,14.369776924635886,6.473257682994356,14.2128346207462,6.82571155897595,13.133156301509544,2138,1851,2120,2412,2701
LITTORAL,WOURI,DIBOMBARI,DIBOMBARI,54356,4.1787,9.6561,4.187049044853597,9.594319844101335,3.9969701164079794,9.664570921024948,4.270427500514314,10.130509508906568,705,613,709,817,931
SUD-OUEST,FAKO,BUEA,BUEA,11235,4.1527,9.241,4.160692943955438,9.224596542925473,4.176880207621184,9.253899011492662,,,7093,6152,7082,8111,13743
EST,LOM-ET-DJEREM,BERTOUA II,BERTOUA,34262,4.57728,13.68459,4.556955293748048,13.697450365397305,5.325571117051513,13.765264456510515,,,8692,15041,17236,19608,32937
EST,KADEI,BATOURI,BATOURI,33158,4.43333,14.36667,4.459444787182137,14.388497716734461,4.269504308570188,14.385959282063373,,,1564,1354,1551,1765,1977
OUEST,HAUTS-PLATEAUX,BAMENDJOU,BAMENDJOU,83376,5.38875,10.33161,5.378869289826846,10.31639425399047,5.3135672323493,10.349834285367255,,,949,824,950,1089,1230
CENTRE,MEFOU-ET-AKONO,AKONO,AKONO,26176,3.5,11.33333,3.4880007524800503,11.301519902367316,3.608470155568265,11.366420872969034,4.670479718316163,11.826210878899634,363,318,369,428,489
SUD-OUEST,LEBIALEM,MENJI,FONTEM,13755,5.4685,9.8818,5.445616371281661,9.857703244629159,5.595993796915215,9.942039895840818,,,0,0,0,0,0
EXTREME-NORD,MAYO-KANI,MINDIF,MINDIF,44758,10.39757,14.43626,10.39437808715428,14.470684161892773,10.242178218182143,14.514272175670587,,,2041,1799,2099,2434,2780
CENTRE,LEKIE,NTUI,NTUI,22346,4.45,11.63333,4.53550555818651,11.666711135730836,4.149623553135392,11.410254656985613,4.670479718316163,11.826210878899634,1665,1455,1691,1959,2241
CENTRE,HAUTE-SANAGA,NKOTENG,NKOTENG,21489,4.51667,12.03333,4.48257305169184,12.147788861626319,4.677837495672556,12.512664216059541,4.670479718316163,11.826210878899634,384,348,404,468,536
OUEST,HAUT-NKAM,NKONGSAMBA II,NKONGSAMBA,82543,4.9547,9.9404,4.984611308760676,9.925170778219366,5.157301111756902,10.183557407875464,,,6168,10712,12344,14146,15985
ADAMAOUA,DJEREM,TABATI,TIBATI,11554,6.46667,12.63333,6.521627204080224,12.549671918554148,6.4592350143585815,12.722440953088144,6.82571155897595,13.133156301509544,0,0,0,0,0
NORD,MAYO-REY,TCHOLLIRÃ©,TCHOLLIRÉ,64832,8.4022,14.1698,8.03173038286984,14.059298577553745,8.108038646384532,14.477083632157669,,,0,0,0,0,0
LITTORAL,MOUNGO,MOMBO,MBANGA,51764,4.5016,9.5671,4.55902958830721,9.5794495177133,4.6723095183920424,9.76751665670151,4.270427500514314,10.130509508906568,459,400,463,534,609
CENTRE,HAUTE-SANAGA,DIANG,MBANG,21347,4.58333,13.33333,4.623860885653237,13.382267382791257,4.677837495672556,12.512664216059541,4.670479718316163,11.826210878899634,762,666,775,897,1027
CENTRE,NYONG-ET-SO,MBALMAYO,MBALMAYO,21774,3.51667,11.5,3.4874076303680326,11.55003968712352,3.403646923163418,11.547625677484419,4.670479718316163,11.826210878899634,3475,3038,3532,4090,4678
EXTREME-NORD,MAYO-KANI,KAÃ©LÃ©,KAÉLÉ,44588,10.10917,14.45083,10.159658209084318,14.383339701553187,10.242178218182143,14.514272175670587,,,0,0,0,0,0
CENTRE,NYONG-ET-MFOUMOU,AKONOLINGA,AKONOLINGA,29367,3.76667,12.25,3.8353759822654436,12.30879091244994,3.859576245627321,12.335017556868939,4.670479718316163,11.826210878899634,117,409,475,551,630
SUD-OUEST,MEME,KUMBA II,KUMBA,15651,4.6363,9.4469,4.7229482924185096,9.45774959446692,4.641487499604581,9.32828387273284,,,5638,9783,11264,12901,21858
EST,BOUMBA-ET-NGOKO,GARI-GOMBO,YOKADOUMA,31192,3.51667,15.05,3.6840130522122796,14.950896897891578,2.792630201494228,15.252466455912721,,,0,0,0,0,0
CENTRE,HAUTE-SANAGA,NANGA-EBOKO,NANGA EBOKO,21283,4.68333,12.36667,4.7525022895992555,12.44098697461055,4.677837495672556,12.512664216059541,4.670479718316163,11.826210878899634,602,526,612,709,811
CENTRE,NYONG-ET-KELLE,ÃSÃ©KA,ESÉKA,28644,3.65,10.76667,3.6335543835498445,10.831066562056794,3.714239507085398,10.818585738410327,4.670479718316163,11.826210878899634,0,0,0,0,0
SUD,VALLEE-DU-NTEM,MA'AN,MAAN,94617,2.35,10.61667,2.4318389369540516,10.684193376514958,2.454081938581572,10.9541820253678,,,305,264,301,341,381
ADAMAOUA,VINA,NGAOUNDÃ©RÃ© II,NGAOUNDÉRÉ,15875,7.31667,13.58333,7.3527002003923885,13.632565993890426,7.169701452342149,13.669263367903785,6.82571155897595,13.133156301509544,0,0,0,0,0
EST,HAUT-NYONG,ABONG-MBANG,ABONG-MBANG,32193,3.98333,13.18333,3.866231097087937,13.251461932429644,3.3378179795659753,13.58406563242841,,,1733,1499,1718,1954,2189
EXTREME-NORD,DIAMARE,MAROUA II,MAROUA,41621,10.59095,14.31592,10.636597441876194,14.317105190650146,10.667049618712413,14.35913441270984,,,9479,17205,21714,27222,50414
NORD,BENOUE,GAROUA I,GAROUA,61565,9.3,13.4,9.323997635891292,13.365000376728883,9.227680656415943,13.486976595779472,,,10999,19845,24882,30997,57055
SUD,OCEAN,AKOM II,AKOM II,93141,2.78333,10.56667,2.8229631098121892,10.442867353742946,2.908154115762212,10.30469702906662,,,657,566,645,731,816
CENTRE,MFOUNDI,MBANKOMO,MBANKOMO,27392,3.78333,11.38333,3.7740881757194313,11.353426481401241,3.8084856225352923,11.512775943766274,4.670479718316163,11.826210878899634,979,857,997,1155,1321
LITTORAL,MOUNGO,LOUM,LOUM,51421,4.7182,9.7351,4.698676636697628,9.812276250839759,4.6723095183920424,9.76751665670151,4.270427500514314,10.130509508906568,2046,1960,2267,2614,2979
OUEST,HAUT-NKAM,MÃ©LONG,MELONG,82148,5.1218,9.96143,5.164089017056859,9.882075426987882,5.157301111756902,10.183557407875464,,,0,0,0,0,0
EXTREME-NORD,MAYO-DANAY,YAGOUA,YAGOUA,43642,10.34107,15.23288,10.205937586044914,15.228629632250087,10.397036816162558,15.076400151376935,,,6872,6055,7066,8191,9351
NORD,BENOUE,GAROUA II,PITOA,61682,9.38333,13.53333,9.343982255538153,13.425541776357829,9.227680656415943,13.486976595779472,,,6143,10761,12476,14370,16304
OUEST,BAMBOUTOS,MBOUDA,MBOUDA,81756,5.62578,10.25517,5.624839689912664,10.3195099097832,5.674221350470127,10.30737084966801,,,1821,1581,1822,2088,2359
NORD-OUEST,BUI,JAKIRI,JAKIRI,72275,6.1,10.65,6.092454840495319,10.663630692127418,6.217035006485909,10.736983188426876,,,14051,12274,14219,16374,18584
LITTORAL,WOURI,DOUALA I,BONABÉRI,54597,4.0779,9.6759,4.042889751526217,9.692999547830926,3.9969701164079794,9.664570921024948,4.270427500514314,10.130509508906568,41691,72488,83863,96700,110182
EXTREME-NORD,LOGONE-ET-CHARI,KOUSSÃ©RI,KOUSSÉRI,42615,12.07689,15.03063,12.068654262637175,14.98291762415325,11.999404762234462,14.662177082942428,,,0,0,0,0,0
EST,LOM-ET-DJEREM,BÃ©TARÃ©-OYA,BÉTARÉ OYA,34542,5.6,14.08333,5.6150755850440595,13.783780245201573,5.325571117051513,13.765264456510515,,,0,0,0,0,0
NORD-OUEST,BUI,KUMBO,KUMBO,72311,6.2,10.66667,6.215862734780759,10.710151010663079,6.217035006485909,10.736983188426876,,,41577,40495,46912,54024,61313
ADAMAOUA,FARO-ET-DEO,KONTCHA,KONTCHA,12235,7.96667,12.23333,8.03230239564297,12.28304948622735,7.4459369607916654,12.461127134415293,6.82571155897595,13.133156301509544,1152,997,1142,1299,1455
NORD,MAYO-LOUTI,GUIDER,GUIDER,63639,9.93417,13.94861,9.920879814157948,13.850133251041155,9.936812363058793,13.804444931788375,,,2549,2232,2588,2981,5073
OUEST,NOUN,FOUMBAN,FOUMBAN,88358,5.7291,10.90011,5.7101872197823,10.878341180030185,5.645408937551902,10.915756333029485,,,1532,1330,1532,1755,2975
CENTRE,MBAM-ET-INOUBOU,NITOUKOU,NDIKINIMÉKI,23271,4.76667,10.83333,4.652795635471987,10.89511189322883,4.731172516683585,10.965955783471026,4.670479718316163,11.826210878899634,7218,6310,7336,8495,9717
EST,KADEI,NDÃ©LÃ©LÃ©,NDÉLÉLÉ,33284,4.04065,14.92501,4.030815511529391,14.798676518441447,4.269504308570188,14.385959282063373,,,0,0,0,0,0
CENTRE,MBAM-ET-KIM,YOKO,YOKO,24769,5.53333,12.31667,5.4540330221586215,12.23341380551741,5.428830057667808,11.989962252435417,4.670479718316163,11.826210878899634,256,224,260,301,344
CENTRE,MEFOU-ET-AFAMBA,ESSE,ESSÉ,25657,4.1,11.9,4.096922249929961,11.853564240681854,3.9589643388184217,11.805045808502662,4.670479718316163,11.826210878899634,762,666,775,897,1027
EXTREME-NORD,LOGONE-ET-CHARI,HILÃ© - ALIFA,MAKARI,42586,12.5717,14.46662,12.671353644537245,14.369224769740335,11.999404762234462,14.662177082942428,,,0,0,0,0,0
NORD,FARO,LAGDO,POLI,62357,8.48333,13.25,8.77072146621612,13.567842530194913,8.250425621453694,12.883983494475139,,,173,265,307,353,401
NORD,BENOUE,BIBEMI,LAGDO,61256,9.05,13.73333,9.314654793892009,13.912814372537367,9.227680656415943,13.486976595779472,,,123,108,125,144,162
OUEST,MENOUA,DSCHANG,DSCHANG,85334,5.44559,10.055,5.423144637881421,10.025555693218996,5.42090170577736,10.080194589482327,,,2195,1905,2195,2515,2842
EST,HAUT-NYONG,DOUMÃ©,DOUMÉ,32318,4.23333,13.45,4.328429574696583,13.398335770695567,3.3378179795659753,13.58406563242841,,,0,0,0,0,0
LITTORAL,MOUNGO,MANJO,MANJO,51588,4.8428,9.8217,4.8425627446752175,9.792625880605147,4.6723095183920424,9.76751665670151,4.270427500514314,10.130509508906568,1826,1587,1837,2118,2413
SUD-OUEST,MANYU,MAMFE,MAMFE,14357,5.754,9.3123,5.627534196011924,9.337023177482557,5.8240845162712995,9.372701031292118,,,0,0,0,0,0
CENTRE,LEKIE,OBALA,OBALA,22589,4.16667,11.53333,4.127919658435967,11.512061308077895,4.149623553135392,11.410254656985613,4.670479718316163,11.826210878899634,3275,2863,3329,3855,4411
SUD,VALLEE-DU-NTEM,AMBAM,AMBAM,94151,2.38333,11.28333,2.4741085180790106,11.255093071900614,2.454081938581572,10.9541820253678,,,1058,912,1041,1180,1316
NORD-OUEST,MEZAM,MBENGWI,MBENGWI,75626,6.01667,10.0,6.04339592005513,9.959622467363193,5.991620547463154,10.141931213407325,,,2247,1963,2274,2619,2973
LITTORAL,NKAM,YABASSI,YABASSI,52582,4.45697,9.96822,4.397453242347014,10.003868956707892,4.531963833713757,10.160586124926946,4.270427500514314,10.130509508906568,381,332,384,442,504
EXTREME-NORD,MAYO-SAVA,KOLOFATA,MORA,45198,11.04611,14.14011,11.15614015159263,14.0245510413769,11.06469692714163,14.156709827813243,,,1251,1103,1287,1492,1704
OUEST,NDE,BASSAMBA,BANGANGTÉ,87214,5.14091,10.51975,5.0497640931573935,10.568776659726147,5.074122217801153,10.60024372589252,,,149,151,174,199,225
NORD-OUEST,MEZAM,BALI,BALI,75233,5.88724,10.01248,5.875261636244277,10.015516841783285,5.991620547463154,10.141931213407325,,,1815,1586,1838,2116,2401
SUD-OUEST,FAKO,LIMBÃ© I,LIMBE,11598,4.0242,9.2149,4.0406775294664685,9.25078344146513,4.176880207621184,9.253899011492662,,,0,0,0,0,0
NORD-OUEST,MEZAM,NJINIKOM,BELO,75726,6.13333,10.25,6.225667874881257,10.220704496037866,5.991620547463154,10.141931213407325,,,3822,3338,3866,4452,5052
ADAMAOUA,MAYO-BANYO,BANKIM,BANKIM,13162,6.08303,11.4905,6.260805763898974,11.443476118509386,6.569903921139817,11.728954763954299,6.82571155897595,13.133156301509544,3380,2923,3348,3808,4263
OUEST,HAUTS-PLATEAUX,BANGOU,NGOU,83512,5.1959,10.38441,5.223985296151637,10.36865206609837,5.3135672323493,10.349834285367255,,,693,601,693,794,898
CENTRE,LEKIE,SA'A,SAA,22836,4.36667,11.45,4.340311199764998,11.484997067593891,4.149623553135392,11.410254656985613,4.670479718316163,11.826210878899634,1893,1654,1923,2227,2547
CENTRE,MBAM-ET-INOUBOU,OMBESSA,OMBÉSA,23437,4.6,11.25,4.616030024668873,11.316500425483323,4.731172516683585,10.965955783471026,4.670479718316163,11.826210878899634,1666,1457,1694,1962,2245
NORD-OUEST,BOYO,FUNDONG,MME-BAFUMEN,71425,6.33333,10.23333,6.31633056176087,10.301257892969376,6.361815187683594,10.364502639482296,,,6225,5437,6299,7254,8232
CENTRE,MEFOU-ET-AFAMBA,MBANDJOCK,MBANDJOK,25839,4.45,11.9,4.438599169488358,11.875937901339524,3.9589643388184217,11.805045808502662,4.670479718316163,11.826210878899634,2249,2031,2361,2735,3128
SUD-OUEST,NDIAN,BAMUSSO,BAMUSSO,16177,4.4591,8.9027,4.4780915041887965,8.974057252230832,4.675628820385907,8.535464740338961,,,1106,960,1105,1266,1430
LITTORAL,MOUNGO,PENJA,PENJA,51187,4.63911,9.67987,4.572635347138591,9.697674819315454,4.6723095183920424,9.76751665670151,4.270427500514314,10.130509508906568,0,0,0,0,0
SUD-OUEST,FAKO,IDENAU,IDENAO,11446,4.2475,9.00472,4.178460621349691,9.050279215443945,4.176880207621184,9.253899011492662,,,0,0,0,0,0
LITTORAL,MOUNGO,MOMBO,NDOM,51764,4.4978,9.5628,4.55902958830721,9.5794495177133,4.6723095183920424,9.76751665670151,4.270427500514314,10.130509508906568,459,400,463,534,609
SUD,MVILA,MENGONG,MVANGUÉ,92859,2.96667,11.51667,2.9267901274354458,11.422854772103843,2.827797300383114,11.415283935452997,,,628,541,617,699,780
SUD-OUEST,FAKO,LIMBÃ© I,MUTENGENE,11598,4.0913,9.3144,4.0406775294664685,9.25078344146513,4.176880207621184,9.253899011492662,,,0,0,0,0,0
SUD-OUEST,MEME,KUMBA I,BEKONDO,15567,4.6819,9.3214,4.550591071256834,9.331149492932628,4.641487499604581,9.32828387273284,,,3508,6085,7006,8025,9064
LITTORAL,NKAM,YABASSI,DIANG,52582,4.25,10.01667,4.397453242347014,10.003868956707892,4.531963833713757,10.160586124926946,4.270427500514314,10.130509508906568,381,332,384,442,504
NORD-OUEST,MEZAM,TUBAH,BABANKI,75913,6.11667,10.25,6.038600978160656,10.28683150389071,5.991620547463154,10.141931213407325,,,3818,3335,3864,4450,5051
ADAMAOUA,MAYO-BANYO,MAYO-DARLÃ©,SOMIÉ,13421,6.45843,11.43299,6.490249488194774,11.618168241634484,6.569903921139817,11.728954763954299,6.82571155897595,13.133156301509544,0,0,0,0,0
EST,KADEI,DIMAKO,DIMAKO,33439,4.38333,13.56667,4.342308740350077,13.589229486839908,4.269504308570188,14.385959282063373,,,1482,1281,1468,1670,1870
CENTRE,LEKIE,OKALA,OKOLA,22651,4.01667,11.38333,4.00833734002474,11.34947710252859,4.149623553135392,11.410254656985613,4.670479718316163,11.826210878899634,0,0,0,0,0
OUEST,HAUTS-PLATEAUX,BAFOUSSAM III,BANSOA,83192,5.44718,10.31514,5.489013408858517,10.368578609512928,5.3135672323493,10.349834285367255,,,1567,2722,3137,3595,4063
SUD-OUEST,MANYU,EYUMODJOCK,EYUMOJOK,14237,5.750358,8.983317,5.605668780508144,8.975069975625077,5.8240845162712995,9.372701031292118,,,1222,1060,1220,1397,1579
ADAMAOUA,VINA,MBÃ©,MBE,15446,7.850437,13.600038,7.772895811133963,13.55258968813515,7.169701452342149,13.669263367903785,6.82571155897595,13.133156301509544,0,0,0,0,0
SUD,MVILA,AMBAM,OVENG,92151,2.41667,11.56667,2.4741085180790106,11.255093071900614,2.827797300383114,11.415283935452997,,,1058,912,1041,1180,1316
SUD,DJA-ET-LOBO,BENGBIS,AKOM,91179,3.28333,12.46667,3.3000902010329187,12.503493716816031,2.773818687806856,12.609007007639041,,,287,248,283,320,358
NORD,FARO,BÃ©KA,SOUMI,62173,8.57084,13.00554,8.616743570805905,12.620000651919414,8.250425621453694,12.883983494475139,,,0,0,0,0,0
CENTRE,NYONG-ET-SO,ZOÃ©TÃ©LÃ©,MEBA,21631,3.28333,11.88333,3.269753343902266,11.885072888924967,3.403646923163418,11.547625677484419,4.670479718316163,11.826210878899634,0,0,0,0,0
SUD,MVILA,BIWONG-BANÃ©,ADJAP,92243,2.96667,11.11667,3.092059955612704,11.094260254120824,2.827797300383114,11.415283935452997,,,0,0,0,0,0
SUD,MVILA,BIWONG-BULU,NKOADJAP,92384,2.55,11.53333,2.7750982234334236,11.553085903796063,2.827797300383114,11.415283935452997,,,344,592,675,765,854
NORD,MAYO-LOUTI,FIGUIL,SOLOA,63523,9.66472,13.96794,9.918279603457481,14.068884393272418,9.936812363058793,13.804444931788375,,,1532,1342,1556,1793,2035
NORD,MAYO-LOUTI,GUIDER,LAMINGUEL,63639,9.91042,13.77728,9.920879814157948,13.850133251041155,9.936812363058793,13.804444931788375,,,2549,2232,2588,2981,3382
EXTREME-NORD,DIAMARE,ZINA,DAFEN,41542,11.09096,14.88235,11.193697374623058,14.950884817986543,10.667049618712413,14.35913441270984,,,472,417,487,565,645
EXTREME-NORD,LOGONE-ET-CHARI,GOULFEY,GALEGALE,42427,12.20354,14.69994,12.43622912082223,14.730014484842426,11.999404762234462,14.662177082942428,,,550,485,566,657,750
EXTREME-NORD,MAYO-TSANAGA,HINA,BAMGUEL-MBORORO,46375,10.28561,13.83162,10.325761675302335,13.819962509275898,10.533333679115419,13.745806788338358,,,439,388,452,524,598
EXTREME-NORD,DIAMARE,PÃ©TTÃ©,FADARE,41286,10.91999,14.60241,10.963712381395958,14.544586707617992,10.667049618712413,14.35913441270984,,,0,0,0,0,0
EXTREME-NORD,DIAMARE,MAROUA II,KONGOLA DJIDDEO,41621,10.61667,14.4,10.636597441876194,14.317105190650146,10.667049618712413,14.35913441270984,,,3160,5569,6498,7533,8600
EXTREME-NORD,LOGONE-ET-CHARI,ZINA,GOIZINAK,42142,11.51017,15.11491,11.193697374623058,14.950884817986543,11.999404762234462,14.662177082942428,,,472,417,487,565,645
EXTREME-NORD,MAYO-SAVA,MOZOGO,GUETAMA,45552,11.04993,13.83486,11.02831088174563,13.877204869573816,11.06469692714163,14.156709827813243,,,0,0,0,0,0
EXTREME-NORD,MAYO-SAVA,KOZA,MAWAK,45214,10.93504,13.90911,10.896038787285242,13.895646715423958,11.06469692714163,14.156709827813243,,,481,424,495,574,655
EXTREME-NORD,LOGONE-ET-CHARI,BLANGOUA,WAGLAM,42161,12.6855,14.4892,12.741727776255233,14.586849523511606,11.999404762234462,14.662177082942428,,,1228,1083,1263,1464,1672
EXTREME-NORD,LOGONE-ET-CHARI,WAZA,GOULOUNDOUMA,42943,11.50278,14.72679,11.377071714051597,14.699640545644575,11.999404762234462,14.662177082942428,,,801,706,824,955,1091
CENTRE,NYONG-ET-MFOUMOU,MESSAMÃ©NA,POUMPOUM,29521,3.65,12.58333,3.618570804671854,12.879804391077174,3.859576245627321,12.335017556868939,4.670479718316163,11.826210878899634,0,0,0,0,0
CENTRE,HAUTE-SANAGA,NANGA-EBOKO,BERKONG,21283,4.65,12.6,4.7525022895992555,12.44098697461055,4.677837495672556,12.512664216059541,4.670479718316163,11.826210878899634,602,526,612,709,811
CENTRE,NYONG-ET-MFOUMOU,ENDOM,MEBEM,29961,3.48333,12.18333,3.4729537498045815,12.061340276175407,3.859576245627321,12.335017556868939,4.670479718316163,11.826210878899634,315,380,441,510,583
